mode,drop_prob,clients_expected,received,dropped,duration,global_n,global_mean,global_var
sync,0.0,50,7,43,4.6045,700,-18.6061,934.1325
async,0.0,50,12,38,2.0236,1200,-11.4651,2905.3089
sync,0.05,50,6,44,4.4743,600,9.3547,599.7124
async,0.05,50,13,37,2.0467,1300,1.5281,1042.8698
sync,0.1,50,7,43,4.3549,700,-19.6114,2697.1502
async,0.1,50,10,40,2.0054,1000,1.6234,1259.5566
sync,0.15,50,4,46,4.5351,400,40.7376,2560.4541
async,0.15,50,7,43,2.0715,700,3.5939,1823.661
sync,0.2,50,4,46,4.725,400,-40.5557,1661.6954
async,0.2,50,8,42,2.1772,800,-19.5894,3617.4247
sync,0.25,50,5,45,4.8732,500,-1.5969,2595.3187
async,0.25,50,8,42,2.1194,800,0.955,1993.1515
sync,0.3,50,5,45,4.4183,500,-16.0046,488.6314
async,0.3,50,7,43,2.0495,700,-8.4969,709.5789
sync,0.35,50,3,47,4.7855,300,-64.744,1302.5053
async,0.35,50,7,43,2.0353,700,-19.549,870.4884
sync,0.4,50,5,45,4.949,500,-1.2736,1193.1011
async,0.4,50,4,46,2.1242,400,-28.6618,498.5484
sync,0.45,50,0,50,4.7914,0,nan,nan
async,0.45,50,10,40,2.0428,1000,-9.4037,2458.734
sync,0.5,50,7,43,4.4912,700,0.9836,1657.3552
async,0.5,50,2,48,2.0147,200,-26.4596,216.4336
sync,0.55,50,4,46,4.8035,400,13.9258,1623.7763
async,0.55,50,5,45,2.1539,500,7.1737,3887.0314
sync,0.6,50,0,50,4.4635,0,nan,nan
async,0.6,50,1,49,2.0074,100,94.1744,17.3889
sync,0.65,50,4,46,4.3291,400,13.5745,1717.9101
async,0.65,50,6,44,2.1277,600,-19.9136,1150.0462
sync,0.7,50,1,49,5.0119,100,-14.3431,0.6738
async,0.7,50,0,50,2.0152,0,nan,nan
sync,0.75,50,3,47,4.8284,300,30.8211,631.2208
async,0.75,50,3,47,2.0492,300,-0.7487,2308.3036
sync,0.8,50,3,47,4.6611,300,-4.0625,3687.6502
async,0.8,50,2,48,2.0194,200,25.3847,856.604
sync,0.85,50,1,49,4.7445,100,-84.125,8.218
async,0.85,50,1,49,2.0893,100,-16.9584,0.5802
sync,0.9,50,1,49,4.5498,100,-95.764,20.5137
async,0.9,50,2,48,2.063,200,-8.603,1609.7628
sync,0.95,50,0,50,4.6988,0,nan,nan
async,0.95,50,0,50,2.0128,0,nan,nan
